link name,station1,station2,line,time,distance(miles)
334,191,245,9,3,0.7901121012
20,192,197,1,2,0.4767618655
21,192,212,1,2,0.6199900588
65,192,259,2,2,0.4628865491
400,192,277,11,2,0.6828529711
22,193,278,1,2,0.6564396441
223,193,218,6,1,0.5917985365
415,193,314,14,,3.970619316
146,195,205,4,3,0.5940145783
401,198,272,11,1,0.4124214415
402,198,273,11,3,0.6950574609
147,200,270,4,2,0.7822574455
148,200,289,4,2,0.5296117658
224,200,270,6,2,0.7822574455
225,200,289,6,2,0.5296117658
187,201,284,13,2,0.4187782116
188,201,292,13,2,0.1376858628
284,202,282,8,3,0.9000512261
189,203,217,13,2,0.5578277497
190,204,247,13,2,0.6538967893
149,209,242,4,2,0.4334018375
285,210,291,8,3,0.8290195702
385,210,235,10,3,1.109881348
66,211,275,2,2,0.717093715
67,215,301,2,3,0.8141627427
197,216,276,5,1,0.2683866215
226,218,283,6,2,0.5795058809
286,220,222,8,2,0.395458854
386,220,222,10,2,0.395458854
68,221,239,2,1,0.5558376993
69,221,294,2,3,1.326303285
403,224,260,11,3,0.7834572796
191,225,262,13,2,0.7900311807
198,225,276,5,1,0.5110069515
199,225,295,5,2,0.5766888991
70,226,296,2,3,0.5576651027
200,228,295,5,2,0.4711863249
96,229,236,3,2,0.7528987041
97,229,273,3,2,0.5808917619
150,229,236,4,2,0.7528987041
151,229,273,4,2,0.5808917619
71,230,241,2,2,0.7940161465
152,231,300,4,3,0.8299421828
250,233,279,7,1,0.4303443414
387,235,251,10,2,0.8516515377
72,241,301,2,2,1.093657621
153,242,265,4,1,0.3783427234
154,244,295,4,3,0.6379094555
227,244,295,6,3,0.6379094555
404,245,272,11,3,0.9579434071
23,246,281,1,3,1.03552474
251,247,289,7,3,0.9851242672
98,248,273,3,2,0.5213963468
99,248,285,3,2,0.365256795
155,248,273,4,2,0.5213963468
156,248,285,4,2,0.365256795
252,249,254,7,1,0.5869472603
388,251,252,10,3,0.9980197672
335,257,258,9,2,0.6907806636
413,259,28,14,,0.8063876716
336,261,302,9,3,0.8937925692
389,266,303,10,2,0.5726343164
157,267,268,4,3,0.7189953436
253,279,285,7,2,0.5097299513
192,284,292,13,2,0.3251801592
337,288,302,9,1,0.5914196683
410,295,156,14,,0.9132492557
158,299,300,4,3,0.9430751137
406,304,305,14,,2.176476311
407,305,63,14,,2.212753898
416,314,315,14,,
417,315,316,14,,
418,316,317,14,,0.7358001271
419,317,318,14,,1.768438712
420,318,319,14,,1.828191806
421,319,320,14,,2.275555207
430,319,330,14,,2.606460585
422,320,321,14,,1.478936157
423,321,322,14,,1.525344083
424,322,323,14,,2.136639309
425,323,324,14,,2.485367441
426,324,325,14,,1.514773889
427,325,326,14,,1.794392017
428,326,327,14,,6.74002
429,327,328,14,,4.810655605
431,330,331,14,,
432,330,333,14,,
